NombreArchivo;LineasArchivo;LineasUsadas;IDMaximo;TotalNodos;TiempoInicio;TiempoFinCreacionDict;TiempoInicioMerge;TiempoFin
latest-truthy_compressed.gz;7425200149;715906922;117288116;99609308;1680274418.9579463;1680301396.41808;1680301396.4181123;1680308760.1807876
subset100000000_compressed.gz;652319619;652319619;99999996;87110322;1680369086.8456826;1680377451.1387296;1680377451.1387615;1680383817.2581928
subset10000000_compressed.gz;42682387;42682387;10000000;8159611;1680384259.8564355;1680384833.0790825;1680384833.079113;1680385206.7693524
subset1000000_compressed.gz;5977585;5977585;1000000;829794;1680394254.920065;1680394332.4046485;1680394332.4046786;1680394375.1261106
subset100000_compressed.gz;600493;600493;100000;92654;1680394525.763269;1680394532.6173217;1680394532.6173499;1680394537.0251348
subset10000_compressed.gz;59564;59564;10000;9031;1680394612.0529604;1680394612.5848234;1680394612.5848453;1680394612.9710362
