Estructura;Tiempos;ID;SetDatos
graphNative;297310;314918;subset1000000
graphNative;728610;328716;subset1000000
graphNative;61853715;183;subset1000000
graphNative;260649;39367;subset1000000
graphNative;16454;252588;subset1000000
graphNative;8131;951120;subset1000000
graphNative;10920;78474;subset1000000
graphNative;559;37473;subset1000000
graphNative;11075;873000;subset1000000
graphNative;5856;315574;subset1000000
graphNative;10615;982878;subset1000000
graphNative;133143;206381;subset1000000
graphNative;36843;331650;subset1000000
graphNative;169195;82059;subset1000000
graphNative;16600;656444;subset1000000
graphNative;1082;403929;subset1000000
graphNative;7604;532423;subset1000000
graphNative;21653;53356;subset1000000
graphNative;6125;700117;subset1000000
graphNative;4464096;525;subset1000000
graphNative;55193;170305;subset1000000
graphNative;10212;61225;subset1000000
graphNative;10562;862005;subset1000000
graphNative;12890;573214;subset1000000
graphNative;2616993;224;subset1000000
graphNative;3780057;60;subset1000000
graphNative;37923;14872;subset1000000
graphNative;15301;991072;subset1000000
graphNative;12212;670541;subset1000000
graphNative;19139494;16521;subset1000000
graphNative;102652;201584;subset1000000
graphNative;8032;785132;subset1000000
graphNative;10251;954963;subset1000000
graphNative;1187664;188094;subset1000000
graphNative;11904;235447;subset1000000
graphNative;5213153;40;subset1000000
graphNative;23642;31323;subset1000000
graphNative;7744;72351;subset1000000
graphNative;16244;336229;subset1000000
graphNative;0;29309;subset1000000
graphNative;159900;875538;subset1000000
graphNative;368294;47912;subset1000000
graphNative;2276531;130232;subset1000000
graphNative;32736;580866;subset1000000
graphNative;5551;899669;subset1000000
graphNative;263233;23436;subset1000000
graphNative;69940245;5;subset1000000
graphNative;10525;837466;subset1000000
graphNative;3861;896266;subset1000000
graphNative;30937;10522;subset1000000
graphNative;5911253;36;subset1000000
graphNative;37482;855585;subset1000000
graphNative;12477;91199;subset1000000
graphNative;52125;31561;subset1000000
graphNative;4021;356415;subset1000000
graphNative;778632;219;subset1000000
graphNative;14852;408859;subset1000000
graphNative;12540;190563;subset1000000
graphNative;3350;266563;subset1000000
graphNative;5400;34117;subset1000000
graphNative;412257;35794;subset1000000
graphNative;4826;606779;subset1000000
graphNative;12276;954398;subset1000000
graphNative;4808;619074;subset1000000
graphNative;4467;718817;subset1000000
graphNative;10730;942275;subset1000000
graphNative;6875;560185;subset1000000
graphNative;5235;321774;subset1000000
graphNative;6198;159913;subset1000000
graphNative;17767462;188;subset1000000
graphNative;16006;558494;subset1000000
graphNative;217808;215536;subset1000000
graphNative;19508;106259;subset1000000
graphNative;62490;686826;subset1000000
graphNative;15169;104088;subset1000000
graphNative;17640;328131;subset1000000
graphNative;6844;350317;subset1000000
graphNative;5858;30277;subset1000000
graphNative;2693957;250867;subset1000000
graphNative;8895;53110;subset1000000
graphNative;13419;678775;subset1000000
graphNative;3218;943110;subset1000000
graphNative;0;261365;subset1000000
graphNative;2027;336586;subset1000000
graphNative;6000;385350;subset1000000
graphNative;7944;480479;subset1000000
graphNative;11991;30937;subset1000000
graphNative;0;377585;subset1000000
graphNative;13523;740623;subset1000000
graphNative;11739;261271;subset1000000
graphNative;14839;853464;subset1000000
graphNative;10786;766562;subset1000000
graphNative;10215;316205;subset1000000
graphNative;4278;176398;subset1000000
graphNative;1079;857125;subset1000000
graphNative;23341;256744;subset1000000
graphNative;13635;41343;subset1000000
graphNative;2724;551782;subset1000000
graphNative;53973;796754;subset1000000
graphNative;19737013;142;subset1000000
graphNative;9355;752433;subset1000000
graphNative;3774;261846;subset1000000
graphNative;47354;3771;subset1000000
graphNative;3830;523503;subset1000000
graphNative;4871;57701;subset1000000
graphNative;10753;432328;subset1000000
graphNative;8839;819460;subset1000000
graphNative;3970;896818;subset1000000
graphNative;221003;314851;subset1000000
graphNative;11100;96494;subset1000000
graphNative;28686;13844;subset1000000
graphNative;1577;57597;subset1000000
graphNative;1155;651722;subset1000000
graphNative;5784;874978;subset1000000
graphNative;3121;411169;subset1000000
graphNative;4280;800386;subset1000000
graphNative;0;508698;subset1000000
graphNative;224630;150139;subset1000000
graphNative;4371;172902;subset1000000
graphNative;9438;3043;subset1000000
graphNative;81626;921;subset1000000
graphNative;0;886338;subset1000000
graphNative;0;240588;subset1000000
graphNative;13403;635489;subset1000000
graphNative;70617;714352;subset1000000
graphNative;11142;168151;subset1000000
graphNative;4456;853115;subset1000000
graphNative;254633;215622;subset1000000
graphNative;10890;861080;subset1000000
graphNative;4485;195697;subset1000000
graphNative;12301;91378;subset1000000
graphNative;5860;25088;subset1000000
graphNative;14279;591832;subset1000000
graphNative;9423;663981;subset1000000
graphNative;11496;717741;subset1000000
graphNative;4795;253348;subset1000000
graphNative;4802;202133;subset1000000
graphNative;13021;744872;subset1000000
graphNative;116191;131603;subset1000000
graphNative;4768;348512;subset1000000
graphNative;6655;798797;subset1000000
graphNative;7891;269516;subset1000000
graphNative;14149;76546;subset1000000
graphNative;3753;149110;subset1000000
graphNative;4502;439237;subset1000000
graphNative;17047;21802;subset1000000
graphNative;3974;633408;subset1000000
graphNative;12109;637739;subset1000000
graphNative;7375;176169;subset1000000
graphNative;43603;1093;subset1000000
