Estructura;Tiempos;ID;SetDatos;etc
compressedDense;0;81958;subset100000;
compressedDense;0;9116;subset100000;
compressedDense;0;63357;subset100000;
compressedDense;0;56928;subset100000;
compressedDense;0;18042;subset100000;
compressedDense;0;82200;subset100000;
compressedDense;0;79050;subset100000;
compressedDense;0;52529;subset100000;
compressedDense;0;71157;subset100000;
compressedDense;0;1947;subset100000;
compressedDense;0;92090;subset100000;
compressedDense;0;49049;subset100000;
compressedDense;0;78137;subset100000;
compressedDense;0;9391;subset100000;
compressedDense;0;16133;subset100000;
compressedDense;0;91229;subset100000;
compressedDense;0;85482;subset100000;
compressedDense;0;73407;subset100000;
compressedDense;0;14173;subset100000;
compressedDense;0;75278;subset100000;
compressedDense;0;96193;subset100000;
compressedDense;0;21327;subset100000;
compressedDense;0;93510;subset100000;
compressedDense;0;77234;subset100000;
compressedDense;0;33502;subset100000;
compressedDense;0;46576;subset100000;
compressedDense;0;44849;subset100000;
compressedDense;0;14703;subset100000;
compressedDense;0;49022;subset100000;
compressedDense;0;3316;subset100000;
compressedDense;0;87240;subset100000;
compressedDense;0;44952;subset100000;
compressedDense;0;2957;subset100000;
compressedDense;0;17303;subset100000;
compressedDense;0;70507;subset100000;
compressedDense;0;40663;subset100000;
compressedDense;0;6221;subset100000;
compressedDense;0;61855;subset100000;
compressedDense;0;79460;subset100000;
compressedDense;0;45106;subset100000;
compressedDense;0;15858;subset100000;
compressedDense;0;78773;subset100000;
compressedDense;0;22397;subset100000;
compressedDense;0;9675;subset100000;
compressedDense;0;49392;subset100000;
compressedDense;0;85588;subset100000;
compressedDense;0;6570;subset100000;
compressedDense;0;81112;subset100000;
compressedDense;0;27386;subset100000;
compressedDense;0;39214;subset100000;
compressedDense;0;43174;subset100000;
compressedDense;0;11245;subset100000;
compressedDense;0;12214;subset100000;
compressedDense;0;98325;subset100000;
compressedDense;0;1474;subset100000;
compressedDense;0;95694;subset100000;
compressedDense;0;84409;subset100000;
compressedDense;0;24096;subset100000;
compressedDense;0;42473;subset100000;
compressedDense;0;57060;subset100000;
compressedDense;0;27787;subset100000;
compressedDense;0;8591;subset100000;
compressedDense;0;76680;subset100000;
compressedDense;0;80957;subset100000;
compressedDense;0;15842;subset100000;
compressedDense;0;68148;subset100000;
compressedDense;0;71613;subset100000;
compressedDense;0;70276;subset100000;
compressedDense;0;67763;subset100000;
compressedDense;0;10798;subset100000;
compressedDense;0;22928;subset100000;
compressedDense;0;95801;subset100000;
compressedDense;0;13551;subset100000;
compressedDense;0;8753;subset100000;
compressedDense;0;65772;subset100000;
compressedDense;0;81464;subset100000;
compressedDense;0;34496;subset100000;
compressedDense;0;59568;subset100000;
compressedDense;0;48063;subset100000;
compressedDense;0;23403;subset100000;
compressedDense;0;42436;subset100000;
compressedDense;0;7112;subset100000;
compressedDense;0;21550;subset100000;
compressedDense;0;77746;subset100000;
compressedDense;0;26759;subset100000;
compressedDense;0;95964;subset100000;
compressedDense;0;8468;subset100000;
compressedDense;0;59544;subset100000;
compressedDense;0;63779;subset100000;
compressedDense;0;45475;subset100000;
compressedDense;0;9632;subset100000;
compressedDense;0;73419;subset100000;
compressedDense;0;21734;subset100000;
compressedDense;0;84114;subset100000;
compressedDense;0;75253;subset100000;
compressedDense;0;94034;subset100000;
compressedDense;0;12384;subset100000;
compressedDense;0;49594;subset100000;
compressedDense;0;76294;subset100000;
compressedDense;0;11182;subset100000;
compressedDense;0;68022;subset100000;
compressedDense;0;91745;subset100000;
compressedDense;0;43508;subset100000;
compressedDense;0;88517;subset100000;
compressedDense;0;45551;subset100000;
compressedDense;0;26940;subset100000;
compressedDense;0;91674;subset100000;
compressedDense;0;12886;subset100000;
compressedDense;0;38646;subset100000;
compressedDense;0;92902;subset100000;
compressedDense;0;93076;subset100000;
compressedDense;0;95644;subset100000;
compressedDense;0;25438;subset100000;
compressedDense;0;60026;subset100000;
compressedDense;0;12262;subset100000;
compressedDense;0;7208;subset100000;
compressedDense;0;67010;subset100000;
compressedDense;0;95244;subset100000;
compressedDense;0;92330;subset100000;
compressedDense;0;30911;subset100000;
compressedDense;0;86592;subset100000;
compressedDense;0;39096;subset100000;
compressedDense;0;15299;subset100000;
compressedDense;0;85480;subset100000;
compressedDense;0;25828;subset100000;
compressedDense;0;5317;subset100000;
compressedDense;0;55057;subset100000;
compressedDense;0;64384;subset100000;
compressedDense;0;37240;subset100000;
compressedDense;0;36277;subset100000;
compressedDense;0;23438;subset100000;
compressedDense;0;75469;subset100000;
compressedDense;0;15939;subset100000;
compressedDense;0;96917;subset100000;
compressedDense;0;41403;subset100000;
compressedDense;0;11572;subset100000;
compressedDense;0;69569;subset100000;
compressedDense;0;78712;subset100000;
compressedDense;0;35435;subset100000;
compressedDense;0;33160;subset100000;
compressedDense;0;37068;subset100000;
compressedDense;0;47801;subset100000;
compressedDense;0;56667;subset100000;
compressedDense;0;38204;subset100000;
compressedDense;0;35053;subset100000;
compressedDense;0;97822;subset100000;
compressedDense;0;20550;subset100000;
compressedDense;0;8776;subset100000;
compressedDense;0;91692;subset100000;
compressedDense;0;5405;subset100000;
compressedDense;0;48250;subset100000;
compressedDense;0;91448;subset100000;
compressedDense;0;36301;subset100000;
compressedDense;0;40391;subset100000;
compressedDense;0;36630;subset100000;
compressedDense;0;5987;subset100000;
compressedDense;0;47410;subset100000;
compressedDense;0;70193;subset100000;
compressedDense;0;24163;subset100000;
compressedDense;0;3515;subset100000;
compressedDense;0;29292;subset100000;
compressedDense;0;78777;subset100000;
compressedDense;0;96832;subset100000;
compressedDense;0;9367;subset100000;
compressedDense;0;4772;subset100000;
compressedDense;0;93637;subset100000;
compressedDense;0;56876;subset100000;
compressedDense;0;20647;subset100000;
compressedDense;0;41031;subset100000;
compressedDense;0;82756;subset100000;
compressedDense;0;82805;subset100000;
compressedDense;0;85936;subset100000;
compressedDense;0;60828;subset100000;
compressedDense;0;49196;subset100000;
compressedDense;0;80586;subset100000;
compressedDense;0;89760;subset100000;
compressedDense;0;94444;subset100000;
compressedDense;0;58057;subset100000;
compressedDense;0;68340;subset100000;
compressedDense;0;52765;subset100000;
compressedDense;0;94683;subset100000;
compressedDense;0;51946;subset100000;
compressedDense;0;59951;subset100000;
compressedDense;0;69813;subset100000;
compressedDense;0;84806;subset100000;
compressedDense;0;6732;subset100000;
compressedDense;0;26569;subset100000;
compressedDense;0;3950;subset100000;
compressedDense;0;72972;subset100000;
compressedDense;0;36077;subset100000;
compressedDense;0;83882;subset100000;
compressedDense;0;97803;subset100000;
compressedDense;0;90078;subset100000;
compressedDense;0;73445;subset100000;
compressedDense;0;24487;subset100000;
compressedDense;0;51567;subset100000;
compressedDense;0;77991;subset100000;
compressedDense;0;17673;subset100000;
compressedDense;0;85877;subset100000;
compressedDense;0;84828;subset100000;
compressedDense;0;58688;subset100000;
compressedDense;0;1017;subset100000;
compressedDense;0;34070;subset100000;
compressedDense;0;41108;subset100000;
compressedDense;0;85494;subset100000;
compressedDense;0;2089;subset100000;
compressedDense;0;46680;subset100000;
compressedDense;0;74750;subset100000;
compressedDense;0;43077;subset100000;
compressedDense;0;37994;subset100000;
compressedDense;0;97938;subset100000;
compressedDense;0;35196;subset100000;
compressedDense;0;57155;subset100000;
compressedDense;0;53801;subset100000;
compressedDense;0;8537;subset100000;
compressedDense;1;80056;subset100000;
compressedDense;0;53786;subset100000;
compressedDense;0;84618;subset100000;
compressedDense;0;1534;subset100000;
compressedDense;0;73232;subset100000;
compressedDense;0;60997;subset100000;
compressedDense;0;27210;subset100000;
compressedDense;0;22774;subset100000;
compressedDense;0;94483;subset100000;
compressedDense;0;56843;subset100000;
compressedDense;0;44346;subset100000;
compressedDense;0;71453;subset100000;
compressedDense;0;85929;subset100000;
compressedDense;0;74371;subset100000;
compressedDense;0;31737;subset100000;
compressedDense;0;19134;subset100000;
compressedDense;0;22357;subset100000;
compressedDense;0;10273;subset100000;
compressedDense;0;59989;subset100000;
compressedDense;0;77838;subset100000;
compressedDense;0;16884;subset100000;
compressedDense;0;86306;subset100000;
compressedDense;0;92860;subset100000;
compressedDense;0;49766;subset100000;
compressedDense;0;99107;subset100000;
compressedDense;0;32377;subset100000;
compressedDense;0;21030;subset100000;
compressedDense;0;92552;subset100000;
compressedDense;0;97758;subset100000;
compressedDense;0;70847;subset100000;
compressedDense;0;32716;subset100000;
compressedDense;0;65657;subset100000;
compressedDense;0;71529;subset100000;
compressedDense;0;95187;subset100000;
compressedDense;0;89057;subset100000;
compressedDense;0;43694;subset100000;
compressedDense;0;78622;subset100000;
compressedDense;0;74567;subset100000;
compressedDense;0;60215;subset100000;
compressedDense;0;11447;subset100000;
compressedDense;0;99279;subset100000;
compressedDense;0;56016;subset100000;
compressedDense;0;10204;subset100000;
compressedDense;0;36227;subset100000;
compressedDense;0;76078;subset100000;
compressedDense;0;88253;subset100000;
compressedDense;0;29982;subset100000;
