Estructura;Tiempos;ID;SetDatos
compressedDense;0;4775787;subset10000000;
compressedDense;0;7194399;subset10000000;
compressedDense;0;2605010;subset10000000;
compressedDense;0;8119300;subset10000000;
compressedDense;0;6254960;subset10000000;
compressedDense;0;4381940;subset10000000;
compressedDense;0;2525705;subset10000000;
compressedDense;0;8912894;subset10000000;
compressedDense;0;835568;subset10000000;
compressedDense;0;3203804;subset10000000;
compressedDense;0;6504773;subset10000000;
compressedDense;0;7200479;subset10000000;
compressedDense;0;588047;subset10000000;
compressedDense;0;150576;subset10000000;
compressedDense;0;9426437;subset10000000;
compressedDense;0;8870009;subset10000000;
compressedDense;0;6093126;subset10000000;
compressedDense;0;8062362;subset10000000;
compressedDense;0;4094273;subset10000000;
compressedDense;0;7792240;subset10000000;
compressedDense;0;3528473;subset10000000;
compressedDense;0;2036354;subset10000000;
compressedDense;0;6000338;subset10000000;
compressedDense;0;1765162;subset10000000;
compressedDense;0;4210753;subset10000000;
compressedDense;0;9851536;subset10000000;
compressedDense;0;7976425;subset10000000;
compressedDense;0;1632036;subset10000000;
compressedDense;0;6496707;subset10000000;
compressedDense;0;5692799;subset10000000;
compressedDense;0;9388161;subset10000000;
compressedDense;0;4828326;subset10000000;
compressedDense;0;5400091;subset10000000;
compressedDense;0;5694034;subset10000000;
compressedDense;0;7334309;subset10000000;
compressedDense;0;87268;subset10000000;
compressedDense;0;5224087;subset10000000;
compressedDense;0;9801794;subset10000000;
compressedDense;0;4300083;subset10000000;
compressedDense;0;3557104;subset10000000;
compressedDense;0;4860423;subset10000000;
compressedDense;0;8275607;subset10000000;
compressedDense;0;5121128;subset10000000;
compressedDense;0;827786;subset10000000;
compressedDense;0;8704925;subset10000000;
compressedDense;0;6383651;subset10000000;
compressedDense;0;1494780;subset10000000;
compressedDense;0;1666267;subset10000000;
compressedDense;0;8390333;subset10000000;
compressedDense;0;476269;subset10000000;
compressedDense;0;9334928;subset10000000;
compressedDense;0;4020239;subset10000000;
compressedDense;0;2528517;subset10000000;
compressedDense;0;7449815;subset10000000;
compressedDense;0;7253921;subset10000000;
compressedDense;0;8169763;subset10000000;
compressedDense;0;8099485;subset10000000;
compressedDense;0;7773361;subset10000000;
compressedDense;0;2029486;subset10000000;
compressedDense;0;2340839;subset10000000;
compressedDense;0;8073645;subset10000000;
compressedDense;0;9578514;subset10000000;
compressedDense;0;5447649;subset10000000;
compressedDense;0;7982930;subset10000000;
compressedDense;0;2185792;subset10000000;
compressedDense;0;5422464;subset10000000;
compressedDense;0;2135197;subset10000000;
compressedDense;0;3096047;subset10000000;
compressedDense;0;1149933;subset10000000;
compressedDense;0;412830;subset10000000;
compressedDense;0;5564519;subset10000000;
compressedDense;0;2346245;subset10000000;
compressedDense;0;4635506;subset10000000;
compressedDense;0;148837;subset10000000;
compressedDense;0;9609453;subset10000000;
compressedDense;0;2889323;subset10000000;
compressedDense;0;1542544;subset10000000;
compressedDense;0;332318;subset10000000;
compressedDense;0;1167631;subset10000000;
compressedDense;0;1893411;subset10000000;
compressedDense;0;4239736;subset10000000;
compressedDense;0;155680;subset10000000;
compressedDense;0;304908;subset10000000;
compressedDense;0;7903881;subset10000000;
compressedDense;0;9232120;subset10000000;
compressedDense;0;8054918;subset10000000;
compressedDense;0;248577;subset10000000;
compressedDense;0;4540366;subset10000000;
compressedDense;0;6316500;subset10000000;
compressedDense;0;5393924;subset10000000;
compressedDense;0;7066486;subset10000000;
compressedDense;0;7260348;subset10000000;
compressedDense;0;2037648;subset10000000;
compressedDense;0;113509;subset10000000;
compressedDense;0;7808165;subset10000000;
compressedDense;0;8801524;subset10000000;
compressedDense;0;8475584;subset10000000;
compressedDense;0;4780089;subset10000000;
compressedDense;0;4061333;subset10000000;
compressedDense;0;2623696;subset10000000;
compressedDense;0;6495147;subset10000000;
compressedDense;0;6529174;subset10000000;
